Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,June,Season
1920-1921,T,0.0,0.0,0.0,T,0.2,1.8,7.1,T,T,0.0,0.0,9.1
1921-1922,0,0,0,0,T,5.5,31.5,3,6.5,0,0,0,46.5
1922-1923,0,0,0,0,T,1.8,3.1,3.9,6.7,0.5,T,0,16
1923-1924,0,0,0,0,T,1.7,1,5.3,9.3,5.5,0,0,22.8
1924-1925,0,0,0,0,T,0.5,19.7,T,T,0,0,0,20.2
1925-1926,0,0,0,2.2,T,T,3.4,12.3,T,T,0,0,17.9
1926-1927,0,0,0,T,0,3,0.3,5.5,T,T,0,0,8.8
1927-1928,0,0,0,0,T,2.5,10.6,0.1,0.5,T,T,0,13.7
1928-1929,0,0,0,0,0.2,T,0.3,7.5,T,T,0,0,8
1929-1930,0,0,0,T,1.1,1.5,16.3,1.5,T,T,0,0,20.4
1930-1931,0,0,0,0,T,2.5,T,T,T,T,0,0,2.5
1931-1932,0,0,0,0,T,1,T,T,4,0,0,0,5
1932-1933,0,0,0,0,0,14.5,T,8.3,1,T,0,0,23.8
1933-1934,0,0,0,0,0.5,3,T,19.6,9.4,T,0,0,32.5
1934-1935,T,T,0,0,T,3,25.4,3.5,0.5,T,0,0,32.4
1935-1936,0,0,0,0,T,11,3,19,T,T,0,0,33
1936-1937,0,0,0,0,T,1.5,T,7.7,11.1,T,T,T,20.3
1937-1938,0,0,0,0,T,T,1.5,1.5,2.6,T,T,0,5.6
1938-1939,0,0,0,0,7,T,7.8,0.3,T,T,0,T,15.1
1939-1940,0,0,0,0,0.4,4.4,15.3,4.3,0.4,0.5,0,0,25.3
1940-1941,0,0,0,1.5,T,T,3.2,2,11.2,0,0,0,17.9
1941-1942,0,0,0,0,0,0.2,1.8,0.1,11.5,0,0,0,13.6
1942-1943,0,0,0,0,0,5.8,6.2,0.7,7.8,T,0,0,20.5
1943-1944,0,0,0,0,T,T,4.1,2.1,1.2,0.2,0,0,7.6
1944-1945,0,0,0,0,T,2.2,3.4,2.6,T,0,0,0,8.2
1945-1946,0,0,0,0,T,10.3,6.8,4.5,T,0,0,0,21.6
1946-1947,0,0,0,0,0,2.2,4.1,10.3,3.4,0,0,0,20
1947-1948,0,0,0,0,T,3.6,12.2,7.7,T,0,0,0,23.5
1948-1949,0,0,0,0,T,4.4,7.4,4,T,0,0,0,15.8
1949-1950,0,0,0,0,T,T,0.3,T,3.1,T,0,0,3.4
1950-1951,0,0,0,0,1.6,3.8,0.8,3,1,0,T,0,10.2
1951-1952,0,0,0,0,T,4.8,1.6,T,3.8,T,0,T,10.2
1952-1953,0,0,0,0,1.7,2,1.3,0.2,3.1,T,0,T,8.3
1953-1954,0,0,0,T,6.7,T,11.3,T,T,T,0,0,18
1954-1955,0,0,0,T,0,0.1,2.3,4.2,T,0,0,0,6.6
1955-1956,0,0,0,0,2.3,0.5,4.5,T,4,0,0,0,11.3
1956-1957,0,0,0,0,T,0.2,10.1,1.6,2.2,0.1,0,0,14.2
1957-1958,0,0,0,T,0.3,12,0.3,17.2,10.6,0,0,0,40.4
1958-1959,0,0,0,0,T,0.9,4,T,T,T,0,0,4.9
1959-1960,0,0,0,0,T,T,T,7.2,17.1,0,0,0,24.3
1960-1961,0,0,0,0,T,8.7,13.6,18,T,T,0,0,40.3
1961-1962,0,0,0,0,1.3,1.2,2,6.5,4,0,0,0,15
1962-1963,0,0,0,0,T,16.2,2.1,2,1.1,0,T,0,21.4
1963-1964,0,0,0,0,T,6.4,8.9,11.7,6.2,0.4,0,0,33.6
1964-1965,0,0,0,0,0.2,0.5,9.1,1.9,5.4,0,0,0,17.1
1965-1966,0,0,0,0,0,0.2,21.3,6.9,T,0,0,0,28.4
1966-1967,0,0,0,0,T,16.1,1.3,19,0.7,0,0,0,37.1
1967-1968,0,0,0,0,6.9,6.3,2.8,2.4,3,0,0,0,21.4
1968-1969,0,0,0,0,T,T,0.2,2.2,6.7,0,0,0,9.1
1969-1970,0,0,0,0,T,6.8,3.6,3.6,T,0,0,0,14
1970-1971,0,0,0,0,T,5.2,4.8,0.3,1.4,T,0,0,11.7
1971-1972,0,0,0,0,1.4,0.1,0.3,14.4,T,0.6,0,0,16.8
1972-1973,0,0,0,T,T,0,T,0.1,T,T,0,0,0.1
1973-1974,0,0,0,0,0,11,1.5,4.2,T,T,0,0,16.7
1974-1975,0,0,0,T,T,0.1,6.6,5.8,0.3,T,0,0,12.8
1975-1976,0,0,0,0,0,0.4,0.1,0.9,0.8,0,0,0,2.2
1976-1977,0,0,0,0,0.8,0.6,9.7,0,0,T,0,0,11.1
1977-1978,0,0,0,0,0.1,0.2,10.3,3.8,8.3,0,0,0,22.7
1978-1979,0,0,0,0,3.1,T,4,30.6,T,0,0,0,37.7
1979-1980,0,0,0,0.3,0,T,8.6,5.1,6.1,0,0,0,20.1
1980-1981,0,0,0,0,T,0.3,4.2,T,T,0,0,0,4.5
1981-1982,0,0,0,0,T,1.7,15.3,5.3,0.2,T,0,0,22.5
1982-1983,0,0,0,0,0,6.6,T,21,0,T,0,0,27.6
1983-1984,0,0,0,0,0.3,T,6.5,T,1.8,T,0,0,8.6
1984-1985,0,0,0,0,T,0.3,10,T,T,T,0,0,10.3
1985-1986,0,0,0,0,0,0.7,1.8,12.9,T,T,0,0,15.4
1986-1987,0,0,0,0,0,T,20.8,10.3,T,T,0,0,31.1
1987-1988,0,0,0,0,11.5,T,13.1,T,0.4,T,T,0,25
1988-1989,0,0,0,0,0,1.2,2.9,1.2,0.4,0,0,0,5.7
1989-1990,0,0,0,0,3.5,9,0.2,T,2.4,0.2,0,0,15.3
1990-1991,T,0,0,0,0,3,4.8,0.3,T,0,T,0,8.1
1991-1992,0,0,0,0,T,0,4,2.6,T,0,0,0,6.6
1992-1993,0,T,0,0,T,1,T,4.1,6.6,0,T,0,11.7
1993-1994,0,0,0,0,T,2.6,3.5,3.1,4,0,0,0,13.2
1994-1995,0,0,0,0,T,0,3.9,5.8,0.4,0,0,0,10.1
1995-1996,0,0,0,0,0.5,1.3,23.8,15.2,5.2,T,0,0,46
1996-1997,0,T,0,0,0.2,0.2,2.3,4,T,0,0,0,6.7
1997-1998,0,0,0,0,T,0.1,T,T,T,0,T,T,0.1
1998-1999,0,0,0,0,0,0.5,2.2,0.2,8.7,0,0,0,11.6
1999-2000,0,0,0,0,0,T,14.5,0.9,0,T,0,0,15.4
2000-2001,0,T,0,0,0,2,2.4,2.8,0.2,T,0,0,7.4
2001-2002,0,0,0,0,0,0,2.7,0.5,0,0,0,T,3.2
2002-2003,0,0,0,0,0,7.1,4.5,28.7,0.1,0,0,0,40.4
2003-2004,T,0,0,0,0,6.2,6.2,T,T,0,T,0,12.4
2004-2005,T,T,0,0,0,0.1,6.4,5.2,0.8,0,T,0,12.5
2005-2006,0,0,0,0,T,4.8,T,8.8,T,T,0,0,13.6
2006-2007,T,0,0,0,0,T,1.3,5.9,1.9,0.4,0,0,9.5
2007-2008,0,0,0,0,0,2.6,1.3,1,0,0,0,T,4.9
2008-2009,0,T,0,0,T,T,1.9,0.1,5.5,0,0,T,7.5
2009-2010,0,0,0,0,0,16.6,7.4,32.1,T,0,T,0,56.1
2010-2011,0,0,0,0,T,2.1,7.3,0.5,0.2,T,0,T,10.1
2011-2012,0,0,0,T,0,T,1.7,0.3,T,0,0,0,2
2012-2013,0,0,0,0,T,0.2,0.9,0.4,1.6,0,0,T,3.1
2013-2014,0,0,0,0,T,1.5,6.6,11.2,12.7,T,0,0,32
2014-2015,0,0,0,0,T,T,3.6,9.8,4.9,T,0,T,18.3
2015-2016,0,0,0,0,0,0,18.8,3.1,0.3,T,T,0,22.2
2016-2017,0,0,0,0,0,T,1.4,T,2,0,0,0,3.4
2017-2018,0,0,0,0,0,1.9,1.2,0.2,4.5,T,0,0,7.8
2018-2019,0,0,0,0,1.4,0,11.5,3.7,0.3,0,0,0,16.9
2019-2020,0,0,0,0,0,0.4,0.2,T,0,0,0,0,0.6
2020-2021,0,0,0,0,0,T,2.6,2.8,0,0,0,0,5.4
2021-2022,0,0,0,0,0,0,12.3,T,0.9,0,T,0,13.2
2022-2023,T,0,0,0,0,T,T,0.4,T,T,0,0,0.4
2023-2024,0,0,0,0,0,0.1,7.8,0.1,T,T,0,0,8